epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0007498149601371494,2.4314336652105504,0.5082860925174378,0.8178851989569602,0.5526311870712739,459.0948051948052,4.536104058600091,2.1459131917605796,0.4859370463527739,0.6927058749521772,0.4836351362367471,522.859375,0.05328938364982605,0.0004245196469128132,0.010497442281257463,0.1865117165174319,0.07892615285391809,0.11091599161615588,0.14947396516799927,0.1923828125,0.058714165767062496,979,4270,11425,0.598320484161377,3.4284781188765514,0.4284781188765513,0.8112344872632267,0.25,2180,0,0.0,3009,245,0.08142239946826188,5721,667,0.11658800908932004,1494,67,0.04484605087014726,13.633615360245827,0.3573470115661621,1024.0,1362.3313950999946,0
2,0.0007492600231606019,1.9826870771971616,0.40826723767178397,0.671317026831887,0.45155140409221894,459.03311688311686,1.8187689474650792,1.9838399967799585,0.4307581589867671,0.6751758043343822,0.43895301533242065,522.859375,0.19253697991371155,0.006492717657238245,0.05132158008650549,0.39622641509433965,0.18961625282167044,0.2564885496183206,0.2779527008533478,0.2049560546875,0.14711033274956217,2352,3584,10052,0.649478554725647,3.877204441541476,0.42064010450685824,0.6662312214239059,0.25,2180,7,0.003211009174311927,3009,728,0.24194084413426387,5721,1412,0.24680999825205382,1494,205,0.13721552878179386,14.14449634687262,0.3575887680053711,1024.0,1318.5739456999945,0
3,0.000748335736726155,1.867296717538462,0.37270865534226616,0.664373433435118,0.415107313649995,458.99285714285713,1.5864059926240475,1.8897675536572933,0.4093181254186978,0.6665890834604701,0.4069301726606985,522.859375,0.26498937606811523,0.012777311727404594,0.07403965115718165,0.36573859957450744,0.31876813930990006,0.3406418264053414,0.34258076548576355,0.26025390625,0.20528529152172784,3954,6857,8450,0.6602061986923218,7.061397779229262,0.12279555845852384,0.3683866753755715,0.25,2180,20,0.009174311926605505,3009,986,0.327683615819209,5721,2418,0.4226533822758259,1494,530,0.35475234270414996,14.357838619335572,0.3589344024658203,1024.0,1282.2154423999964,0
4,0.0007470430129929293,1.801729737396364,0.3527474465501773,0.6604773336803759,0.3942524778571996,458.88831168831166,1.5172320163095152,1.806656723221143,0.37385086754026514,0.6578826000913978,0.3874616265917818,522.859375,0.3369360566139221,0.057105571031570435,0.1182314316090924,0.5513698630136986,0.29853273137697517,0.3873430962343096,0.4040322005748749,0.2218017578125,0.24018940131024194,3703,3013,8701,0.6992550492286682,4.386675375571522,0.22664924885695623,0.40039190071848463,0.25,2180,40,0.01834862385321101,3009,1013,0.33665669657693587,5721,2175,0.3801782905086523,1494,475,0.3179384203480589,18.808274472279635,0.3576035499572754,1024.0,981.2120236000046,0
5,0.0007453831277231767,1.7514157546805096,0.33763120984295747,0.6572659560999313,0.37825929344474496,459.06168831168833,1.4844584885355714,1.7843421828001738,0.36480393454742926,0.6558732291062673,0.38183251256123185,522.859375,0.3679797947406769,0.07117939740419388,0.13581735862753702,0.5987837205675971,0.309577555627217,0.4081415741085189,0.4266968369483948,0.2193603515625,0.25639313614208453,3840,2573,8564,0.7105647921562195,4.188765512736773,0.12279555845852384,0.2834748530372306,0.25,2180,34,0.015596330275229359,3009,695,0.23097374543037555,5721,2405,0.4203810522635903,1494,706,0.4725568942436412,22.5463605609614,0.3579683303833008,1024.0,854.5306751000026,0
6,0.0007433577190232584,1.711646727385459,0.325235290331887,0.6551247474435088,0.36564334300044293,458.94805194805195,1.4396495589575211,1.7527307930092018,0.3533031655630718,0.6551276060442129,0.37215000779057544,522.859375,0.37289029359817505,0.060940731316804886,0.13201219246511756,0.684957627118644,0.2606417284746856,0.3775986918944172,0.4349338114261627,0.1951904296875,0.23274062342523935,3233,1487,9171,0.7094997763633728,3.082952318745918,0.26649248856956237,0.4199869366427172,0.25,2180,15,0.006880733944954129,3009,554,0.18411432369557992,5721,2188,0.38245062052088796,1494,476,0.31860776439089694,23.598790550608072,0.35695838928222656,1024.0,830.0483590000003,0
7,0.0007409687857270304,1.6854341760084226,0.3180550339256788,0.6533448853275993,0.3570171286726927,459.0084415584416,1.4120112983437327,1.7468553098539512,0.359260943873475,0.6537879224245747,0.3669032258912921,522.859375,0.36997100710868835,0.08525170385837555,0.14389906753785908,0.6402027027027027,0.27499193808448885,0.3847281750507557,0.429788738489151,0.1988525390625,0.23818169122268,3411,1917,8993,0.7278556823730469,3.4800783801436967,0.22273024167210972,0.3768778576094056,0.25,2180,15,0.006880733944954129,3009,477,0.1585244267198405,5721,2417,0.4224785876595001,1494,502,0.3360107095046854,23.1013201266261,0.35716676712036133,1024.0,844.6987498000017,0
8,0.0007382186854232367,1.658916118083062,0.3092802838748926,0.6519269712559589,0.3488544313358022,459.0603896103896,1.3966278844839566,1.725799322128296,0.3586796071225156,0.6533854886268576,0.3568671165655057,522.859375,0.3883313536643982,0.0907389223575592,0.1516724632892874,0.5883082862263891,0.3440019348597227,0.4341455969883502,0.45350486040115356,0.22314453125,0.27725795971410006,4267,2986,8137,0.7274328470230103,4.737426518615284,0.1201828870019595,0.2782495101241019,0.25,2180,30,0.013761467889908258,3009,684,0.22731804586241275,5721,2841,0.49659150498164656,1494,712,0.47657295850066933,22.533203702468924,0.35803651809692383,1024.0,923.9092797000048,0
9,0.0007351101321288537,1.63670657911858,0.3021248525710075,0.650664963041033,0.3419583820193619,459.05974025974024,1.3649069289108375,1.7344861961901188,0.3803802573432525,0.6507383730883399,0.3516837819479406,522.859375,0.3719669282436371,0.09839534759521484,0.15189140260772546,0.546112115732369,0.34085778781038373,0.41973592772758855,0.4330355226993561,0.228515625,0.26561125769569044,4228,3514,8176,0.733420729637146,5.056825604180275,0.11757021554539517,0.2952318745917701,0.25,2180,16,0.007339449541284404,3009,609,0.2023928215353938,5721,2948,0.515294528928509,1494,655,0.4384203480589023,20.474744228853876,0.3589344024658203,1024.0,914.2239778999938,0
10,0.0007316461936106827,1.6209093237852121,0.2986817202010712,0.6495395033390491,0.3363440496290659,459.09805194805193,1.3607125456457014,1.684179521476229,0.3411415039251248,0.6493966517349085,0.34682067941563827,522.859375,0.4096299707889557,0.09915627539157867,0.16398262382717804,0.7004210948466012,0.2816027088036117,0.4017020297855212,0.4737803637981415,0.18115234375,0.25133112678083175,3493,1494,8911,0.7423328757286072,3.257348138471587,0.20444154147615937,0.340953625081646,0.25,2180,15,0.006880733944954129,3009,489,0.1625124626121635,5721,2378,0.4156615976227932,1494,611,0.40896921017402943,22.873109234622582,0.35718584060668945,1024.0,842.0420943999925,0
